today_time_str,encode_data_set_name,encode_num_rec,encode_used_attr,plain_data_set_name,plain_num_rec,plain_used_attr,encode_load_time,encode_bf_gen_time,q,bf_len,num_hash_funct,hash_type,bf_harden,stop_iter_perc,min_part_size,apriori_time,reid_time,num_identified_q_gram,est_num_hash_funct,encode_min_bit_poss_assign_reca,encode_avr_bit_poss_assign_reca,encode_max_bit_poss_assign_reca,encode_perc_1_bit_poss_assign_reca,plain_min_bit_poss_assign_reca,plain_avr_bit_poss_assign_reca,plain_max_bit_poss_assign_reca,plain_perc_1_bit_poss_assign_reca,encode_min_q_gram_poss_assign_prec,encode_avr_q_gram_poss_assign_prec,encode_max_q_gram_poss_assign_prec,encode_perc_1_q_gram_poss_assign_prec,plain_min_q_gram_poss_assign_prec,plain_avr_q_gram_poss_assign_prec,plain_max_q_gram_poss_assign_prec,plain_perc_1_q_gram_poss_assign_prec,encode_total_num_corr_assign,encode_total_num_wrong_assign,encode_perc_corr_assign,plain_total_num_corr_assign,plain_total_num_wrong_assign,plain_perc_corr_assign,must_have_min_num_q_gram,must_have_avr_num_q_gram,must_have_max_num_q_gram,cannot_have_min_num_q_gram,cannot_have_avr_num_q_gram,cannot_have_max_num_q_gram,must_have_q_gram_min_prec,must_have_q_gram_avr_prec,must_have_q_gram_max_prec,must_have_q_gram_perc_1_prec,cannot_have_q_gram_min_prec,cannot_have_q_gram_avr_prec,cannot_have_q_gram_max_prec,cannot_have_q_gram_perc_1_prec,re_id_method,max_num_many,num_no_guess,num_too_many_guess,num_1_1_guess,num_corr_1_1_guess,num_part_1_1_guess,num_1_m_guess,num_corr_1_m_guess,num_part_1_m_guess,acc_part_1_1_guess,acc_part_1_m_guess
20230723 18:45:32,ncvoter-20140619-temporal-balanced-ratio-1to1-a,222262,"['first_name', 'middle_name', 'last_name', 'city']",ncvoter-20140619-temporal-balanced-ratio-1to1-b,222207,"['first_name', 'middle_name', 'last_name', 'city']",6.6999289989471436,40.456801891326904,2,1000,10,dh,none,1.0,8000,12.207053899765015,3158.6464619636536,18,10,0.8,0.9722222222222222,1.0,77.77734568141288,0.8,0.9722222222222222,1.0,77.77734568141288,0.0,0.9938650306748467,1.0,99.3864420942073,0.0,0.9938650306748467,1.0,99.3864420942073,175,1,99.43176168649904,175,1,99.43176168649904,1,5.628300331890787,15,3,12.376789554669713,18,0.75,0.9999915760312679,1.0,0.9999459603442541,0.8333333333333334,0.9935295438976476,1.0,0.9178222094114953,bf_tuple,10,0,122279,13341,496,5016,61233,2576,39361,0.38638499658236836,0.373353851588659
20230723 18:51:57,ncvoter-20140619-temporal-balanced-ratio-1to1-a,222262,"['first_name', 'middle_name', 'last_name', 'city']",ncvoter-20140619-temporal-balanced-ratio-1to1-b,222207,"['first_name', 'middle_name', 'last_name', 'city']",6.6999289989471436,40.456801891326904,2,1000,10,dh,none,1.0,8000,12.207053899765015,385.48260521888733,18,10,0.8,0.9722222222222222,1.0,77.77734568141288,0.8,0.9722222222222222,1.0,77.77734568141288,0.0,0.9938650306748467,1.0,99.3864420942073,0.0,0.9938650306748467,1.0,99.3864420942073,175,1,99.43176168649904,175,1,99.43176168649904,1,5.628300331890787,15,3,12.376789554669713,18,0.75,0.9999915760312679,1.0,0.9999459603442541,0.8333333333333334,0.9935295438976476,1.0,0.9178222094114953,q_gram_tuple,10,0,9,182,18,87,147,9,100,0.44080459770114927,0.4145
20230723 18:57:36,ncvoter-20140619-temporal-balanced-ratio-1to1-a,222262,"['first_name', 'middle_name', 'last_name', 'city']",ncvoter-20140619-temporal-balanced-ratio-1to1-b,222207,"['first_name', 'middle_name', 'last_name', 'city']",6.6999289989471436,40.456801891326904,2,1000,10,dh,none,1.0,8000,12.207053899765015,338.37368988990784,18,10,0.8,0.9722222222222222,1.0,77.77734568141288,0.8,0.9722222222222222,1.0,77.77734568141288,0.0,0.9938650306748467,1.0,99.3864420942073,0.0,0.9938650306748467,1.0,99.3864420942073,175,1,99.43176168649904,175,1,99.43176168649904,1,5.628300331890787,15,3,12.376789554669713,18,0.75,0.9999915760312679,1.0,0.9999459603442541,0.8333333333333334,0.9935295438976476,1.0,0.9178222094114953,bf_q_gram_tuple,10,0,19,305,35,148,221,16,159,0.4226351351351349,0.3936058700209644
20230723 19:16:02,ncvoter-20140619-temporal-balanced-ratio-1to1-a,222262,"['first_name', 'middle_name', 'last_name', 'city']",ncvoter-20140619-temporal-balanced-ratio-1to1-b,222207,"['first_name', 'middle_name', 'last_name', 'city']",6.6999289989471436,40.456801891326904,2,1000,10,dh,none,1.0,8000,12.207053899765015,1105.9340019226074,18,10,0.8,0.9722222222222222,1.0,77.77734568141288,0.8,0.9722222222222222,1.0,77.77734568141288,0.0,0.9938650306748467,1.0,99.3864420942073,0.0,0.9938650306748467,1.0,99.3864420942073,175,1,99.43176168649904,175,1,99.43176168649904,1,5.628300331890787,15,3,12.376789554669713,18,0.75,0.9999915760312679,1.0,0.9999459603442541,0.8333333333333334,0.9935295438976476,1.0,0.9178222094114953,set_inter,10,15558,132127,13253,508,4992,61123,2564,39304,0.3875248015873047,0.37300395936922043
