today_time_str,encode_data_set_name,encode_num_rec,encode_used_attr,plain_data_set_name,plain_num_rec,plain_used_attr,encode_load_time,encode_bf_gen_time,q,bf_len,num_hash_funct,hash_type,bf_harden,stop_iter_perc,min_part_size,apriori_time,reid_time,num_identified_q_gram,est_num_hash_funct,encode_min_bit_poss_assign_reca,encode_avr_bit_poss_assign_reca,encode_max_bit_poss_assign_reca,encode_perc_1_bit_poss_assign_reca,plain_min_bit_poss_assign_reca,plain_avr_bit_poss_assign_reca,plain_max_bit_poss_assign_reca,plain_perc_1_bit_poss_assign_reca,encode_min_q_gram_poss_assign_prec,encode_avr_q_gram_poss_assign_prec,encode_max_q_gram_poss_assign_prec,encode_perc_1_q_gram_poss_assign_prec,plain_min_q_gram_poss_assign_prec,plain_avr_q_gram_poss_assign_prec,plain_max_q_gram_poss_assign_prec,plain_perc_1_q_gram_poss_assign_prec,encode_total_num_corr_assign,encode_total_num_wrong_assign,encode_perc_corr_assign,plain_total_num_corr_assign,plain_total_num_wrong_assign,plain_perc_corr_assign,must_have_min_num_q_gram,must_have_avr_num_q_gram,must_have_max_num_q_gram,cannot_have_min_num_q_gram,cannot_have_avr_num_q_gram,cannot_have_max_num_q_gram,must_have_q_gram_min_prec,must_have_q_gram_avr_prec,must_have_q_gram_max_prec,must_have_q_gram_perc_1_prec,cannot_have_q_gram_min_prec,cannot_have_q_gram_avr_prec,cannot_have_q_gram_max_prec,cannot_have_q_gram_perc_1_prec,re_id_method,max_num_many,num_no_guess,num_too_many_guess,num_1_1_guess,num_corr_1_1_guess,num_part_1_1_guess,num_1_m_guess,num_corr_1_m_guess,num_part_1_m_guess,acc_part_1_1_guess,acc_part_1_m_guess
20230909 15:14:47,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.5715069770812988,5.282282114028931,2,1000,15,dh,none,1.0,8000,4.9078099727630615,0.02416396141052246,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,bf_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:14:47,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.5715069770812988,5.282282114028931,2,1000,15,dh,none,1.0,8000,4.9078099727630615,0.00017905235290527344,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,q_gram_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:14:47,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.5715069770812988,5.282282114028931,2,1000,15,dh,none,1.0,8000,4.9078099727630615,0.00020813941955566406,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,bf_q_gram_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:14:50,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.5715069770812988,5.282282114028931,2,1000,15,dh,none,1.0,8000,4.9078099727630615,3.033565044403076,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,set_inter,10,0,10674,0,0,0,0,0,0,0.0,0.0
20230909 15:16:42,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.3524768352508545,3.9553589820861816,2,1000,15,dh,none,1.0,8000,5.344446182250977,0.016122102737426758,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,bf_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:16:42,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.3524768352508545,3.9553589820861816,2,1000,15,dh,none,1.0,8000,5.344446182250977,0.0001780986785888672,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,q_gram_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:16:42,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.3524768352508545,3.9553589820861816,2,1000,15,dh,none,1.0,8000,5.344446182250977,0.00016617774963378906,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,bf_q_gram_tuple,10,0,0,0,0,0,0,0,0,0.0,0.0
20230909 15:16:46,plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",plaintextQIDs,11723,"['lastName', 'firstName', 'birthDate', 'birthPlace', 'gender']",0.3524768352508545,3.9553589820861816,2,1000,15,dh,none,1.0,8000,5.344446182250977,3.9393270015716553,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0.0,0,15,0.0,1,1.0,1,1,1.0,1,1.0,1.0,1.0,0.9999999906314411,0.0,0.8646329837940896,1.0,0.8646329013695995,set_inter,10,0,10674,0,0,0,0,0,0,0.0,0.0
